id,SA2_name_usual_residence_address,SA2_name_educational_address,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,TYPE
E1,Rangaunu Harbour,North Cape,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Rangaunu Harbour,-34.91627744,173.13744282,North Cape,-34.50545276,172.77554997,56.40066999729132,Far North,Far North,Northland,Northland,EDUCATION
E2,North Cape,Kaitaia East,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,North Cape,-34.50545276,172.77554997,Kaitaia East,-35.10383477,173.26414302,80.10718123485246,Far North,Far North,Northland,Northland,EDUCATION
E3,Rangaunu Harbour,Kaitaia East,-999,-999,15,-999,-999,-999,18,-999,-999,-999,39,Rangaunu Harbour,-34.91627744,173.13744282,Kaitaia East,-35.10383477,173.26414302,23.834850779788407,Far North,Far North,Northland,Northland,EDUCATION
E4,Karikari Peninsula,Kaitaia East,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Karikari Peninsula,-34.99527816,173.37873836,Kaitaia East,-35.10383477,173.26414302,15.953902824811776,Far North,Far North,Northland,Northland,EDUCATION
E6,Ahipara,Kaitaia East,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Ahipara,-35.15951697,173.16091938,Kaitaia East,-35.10383477,173.26414302,11.245083253119619,Far North,Far North,Northland,Northland,EDUCATION
E10,Oruru-Parapara,Kaitaia East,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Oruru-Parapara,-35.03331749,173.46127559,Kaitaia East,-35.10383477,173.26414302,19.579539844758607,Far North,Far North,Northland,Northland,EDUCATION
E11,Herekino-Takahue,Kaitaia East,-999,-999,9,-999,-999,-999,12,-999,-999,-999,30,Herekino-Takahue,-35.18964254,173.37240745,Kaitaia East,-35.10383477,173.26414302,13.708926972266053,Far North,Far North,Northland,Northland,EDUCATION
E12,Peria,Kaitaia East,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,15,Peria,-35.12407747,173.44813792,Kaitaia East,-35.10383477,173.26414302,16.886588812542385,Far North,Far North,Northland,Northland,EDUCATION
E13,North Cape,Kaitaia West,-999,-999,6,-999,-999,-999,63,-999,-999,-999,72,North Cape,-34.50545276,172.77554997,Kaitaia West,-35.12178170000001,173.26717397,81.92088293451681,Far North,Far North,Northland,Northland,EDUCATION
E14,Rangaunu Harbour,Kaitaia West,-999,6,45,-999,-999,-999,78,-999,-999,-999,132,Rangaunu Harbour,-34.91627744,173.13744282,Kaitaia West,-35.12178170000001,173.26717397,25.72425126898446,Far North,Far North,Northland,Northland,EDUCATION
E15,Karikari Peninsula,Kaitaia West,-999,-999,-999,-999,-999,-999,18,-999,-999,-999,24,Karikari Peninsula,-34.99527816,173.37873836,Kaitaia West,-35.12178170000001,173.26717397,17.348898421848062,Far North,Far North,Northland,Northland,EDUCATION
E17,Ahipara,Kaitaia West,-999,-999,30,-999,-999,-999,36,-999,-999,-999,69,Ahipara,-35.15951697,173.16091938,Kaitaia West,-35.12178170000001,173.26717397,10.533400888378196,Far North,Far North,Northland,Northland,EDUCATION
E21,Oruru-Parapara,Kaitaia West,-999,-999,-999,-999,-999,-999,18,-999,-999,-999,21,Oruru-Parapara,-35.03331749,173.46127559,Kaitaia West,-35.12178170000001,173.26717397,20.217474036173765,Far North,Far North,Northland,Northland,EDUCATION
E22,Taumarumaru,Kaitaia West,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,18,Taumarumaru,-34.99672682,173.50774402,Kaitaia West,-35.12178170000001,173.26717397,25.93880091011843,Far North,Far North,Northland,Northland,EDUCATION
E23,Herekino-Takahue,Kaitaia West,-999,-999,24,-999,-999,-999,21,-999,-999,-999,45,Herekino-Takahue,-35.18964254,173.37240745,Kaitaia West,-35.12178170000001,173.26717397,12.184652992566946,Far North,Far North,Northland,Northland,EDUCATION
E24,Peria,Kaitaia West,-999,-999,15,-999,-999,-999,21,-999,-999,-999,36,Peria,-35.12407747,173.44813792,Kaitaia West,-35.12178170000001,173.26717397,16.46037768643592,Far North,Far North,Northland,Northland,EDUCATION
E25,Taemaro-Oruaiti,Kaitaia West,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,9,Taemaro-Oruaiti,-35.02535123,173.57890377,Kaitaia West,-35.12178170000001,173.26717397,30.327315221533603,Far North,Far North,Northland,Northland,EDUCATION
E27,Karikari Peninsula,Rangaunu Harbour,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9,Karikari Peninsula,-34.99527816,173.37873836,Rangaunu Harbour,-34.91627744,173.13744282,23.68004921356153,Far North,Far North,Northland,Northland,EDUCATION
E28,Kaitaia East,Rangaunu Harbour,-999,-999,6,-999,-999,-999,12,-999,-999,-999,15,Kaitaia East,-35.10383477,173.26414302,Rangaunu Harbour,-34.91627744,173.13744282,23.834850779788407,Far North,Far North,Northland,Northland,EDUCATION
E29,Kaitaia West,Rangaunu Harbour,-999,-999,12,-999,-999,-999,15,-999,-999,-999,27,Kaitaia West,-35.12178170000001,173.26717397,Rangaunu Harbour,-34.91627744,173.13744282,25.72425126898446,Far North,Far North,Northland,Northland,EDUCATION
E30,Rangaunu Harbour,Karikari Peninsula,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,12,Rangaunu Harbour,-34.91627744,173.13744282,Karikari Peninsula,-34.99527816,173.37873836,23.68004921356153,Far North,Far North,Northland,Northland,EDUCATION
E32,Kaitaia West,Karikari Peninsula,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Kaitaia West,-35.12178170000001,173.26717397,Karikari Peninsula,-34.99527816,173.37873836,17.348898421848062,Far North,Far North,Northland,Northland,EDUCATION
E33,Peria,Karikari Peninsula,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,12,Peria,-35.12407747,173.44813792,Karikari Peninsula,-34.99527816,173.37873836,15.652963207560036,Far North,Far North,Northland,Northland,EDUCATION
E34,Rangaunu Harbour,Rangitihi,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,18,Rangaunu Harbour,-34.91627744,173.13744282,Rangitihi,-35.12785001,173.31122240000005,28.352749145416972,Far North,Far North,Northland,Northland,EDUCATION
E39,Peria,Rangitihi,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,12,Peria,-35.12407747,173.44813792,Rangitihi,-35.12785001,173.31122240000005,12.458860746456509,Far North,Far North,Northland,Northland,EDUCATION
E40,Karikari Peninsula,Taumarumaru,-999,-999,6,-999,-999,-999,12,-999,-999,-999,15,Karikari Peninsula,-34.99527816,173.37873836,Taumarumaru,-34.99672682,173.50774402,11.752228901778135,Far North,Far North,Northland,Northland,EDUCATION
E43,Peria,Taumarumaru,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9,Peria,-35.12407747,173.44813792,Taumarumaru,-34.99672682,173.50774402,15.164431129054842,Far North,Far North,Northland,Northland,EDUCATION
E45,Whakapaku,Taumarumaru,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,12,Whakapaku,-35.04987698,173.66299855,Taumarumaru,-34.99672682,173.50774402,15.32301846794827,Far North,Far North,Northland,Northland,EDUCATION
E51,Herekino-Takahue,Tangonge,-999,-999,18,-999,-999,-999,-999,-999,-999,-999,21,Herekino-Takahue,-35.18964254,173.37240745,Tangonge,-35.12314727,173.21860407,15.817040538354735,Far North,Far North,Northland,Northland,EDUCATION
E54,Kaitaia West,Whangarei Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaitaia West,-35.12178170000001,173.26717397,Whangarei Central,-35.72846995,174.32430322,117.15652024080826,Far North,Whangarei,Northland,Northland,EDUCATION
E55,Waipoua Forest,Whangarei Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Waipoua Forest,-35.58128435,173.51134902,Whangarei Central,-35.72846995,174.32430322,75.25195558388172,Far North,Whangarei,Northland,Northland,EDUCATION
E56,Kaikohe,Whangarei Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaikohe,-35.40792422,173.79767516,Whangarei Central,-35.72846995,174.32430322,59.491913907712046,Far North,Whangarei,Northland,Northland,EDUCATION
E57,Russell Forest-Rawhiti,Whangarei Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Russell Forest-Rawhiti,-35.36879174,174.22606034,Whangarei Central,-35.72846995,174.32430322,40.9700995961602,Far North,Whangarei,Northland,Northland,EDUCATION
E58,Kawakawa,Whangarei Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kawakawa,-35.37897674,174.07575504,Whangarei Central,-35.72846995,174.32430322,44.89778719625619,Far North,Whangarei,Northland,Northland,EDUCATION
E59,Maromaku,Whangarei Central,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,12,Maromaku,-35.47825535,174.14132759999995,Whangarei Central,-35.72846995,174.32430322,32.369026355086625,Far North,Whangarei,Northland,Northland,EDUCATION
E60,Mangakahia-Hukerenui,Whangarei Central,-999,6,18,-999,-999,-999,12,-999,-999,-999,39,Mangakahia-Hukerenui,-35.65301955,174.0023164,Whangarei Central,-35.72846995,174.32430322,30.26472599891327,Whangarei,Whangarei,Northland,Northland,EDUCATION
E61,Whangaruru,Whangarei Central,-999,-999,21,-999,-999,-999,24,-999,-999,-999,51,Whangaruru,-35.48991999,174.33501130000005,Whangarei Central,-35.72846995,174.32430322,26.543203308528863,Whangarei,Whangarei,Northland,Northland,EDUCATION
E62,Matarau,Whangarei Central,-999,15,57,-999,-999,-999,30,-999,-999,-999,105,Matarau,-35.66728748,174.20987157,Whangarei Central,-35.72846995,174.32430322,12.371841060173596,Whangarei,Whangarei,Northland,Northland,EDUCATION
E63,Hikurangi,Whangarei Central,-999,-999,24,-999,-999,-999,-999,-999,-999,-999,30,Hikurangi,-35.59448279999999,174.28716175,Whangarei Central,-35.72846995,174.32430322,15.27187691795924,Whangarei,Whangarei,Northland,Northland,EDUCATION
E64,Kauri,Whangarei Central,-999,9,36,-999,-999,-999,9,-999,-999,-999,54,Kauri,-35.62944367,174.28665672,Whangarei Central,-35.72846995,174.32430322,11.524296190570615,Whangarei,Whangarei,Northland,Northland,EDUCATION
E65,Maungatapere,Whangarei Central,-999,12,33,-999,-999,-999,81,-999,-999,-999,126,Maungatapere,-35.76206371,174.15473729,Whangarei Central,-35.72846995,174.32430322,15.75234482005794,Whangarei,Whangarei,Northland,Northland,EDUCATION
E67,Matapouri-Tutukaka,Whangarei Central,-999,-999,21,-999,-999,-999,21,-999,-999,-999,51,Matapouri-Tutukaka,-35.59792832,174.47802227,Whangarei Central,-35.72846995,174.32430322,20.08867474181131,Whangarei,Whangarei,Northland,Northland,EDUCATION
E68,Kiripaka,Whangarei Central,-999,-999,21,-999,-999,-999,-999,-999,-999,-999,27,Kiripaka,-35.64674958,174.40287423,Whangarei Central,-35.72846995,174.32430322,11.529319394903894,Whangarei,Whangarei,Northland,Northland,EDUCATION
E87,Ngunguru,Whangarei Central,-999,6,12,-999,-999,-999,12,-999,-999,-999,36,Ngunguru,-35.62462501,174.51474389,Whangarei Central,-35.72846995,174.32430322,20.717972821814662,Whangarei,Whangarei,Northland,Northland,EDUCATION
E89,Oakleigh-Mangapai,Whangarei Central,-999,9,30,-999,-999,-999,15,-999,-999,-999,57,Oakleigh-Mangapai,-35.89588695,174.21595621,Whangarei Central,-35.72846995,174.32430322,21.023876321544968,Whangarei,Whangarei,Northland,Northland,EDUCATION
E94,Parua Bay,Whangarei Central,-999,9,24,-999,-999,-999,60,-999,-999,-999,93,Parua Bay,-35.76001844,174.42812257,Whangarei Central,-35.72846995,174.32430322,10.0048181178566,Whangarei,Whangarei,Northland,Northland,EDUCATION
E95,Bream Bay,Whangarei Central,-999,-999,6,-999,-999,-999,6,-999,-999,-999,12,Bream Bay,-35.91496801,174.38390319,Whangarei Central,-35.72846995,174.32430322,21.422544221598155,Whangarei,Whangarei,Northland,Northland,EDUCATION
E96,Marsden Bay,Whangarei Central,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,18,Marsden Bay,-35.84344323,174.48686898,Whangarei Central,-35.72846995,174.32430322,19.45425793236089,Whangarei,Whangarei,Northland,Northland,EDUCATION
E97,Ruakaka,Whangarei Central,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,12,Ruakaka,-35.87869623,174.45727498,Whangarei Central,-35.72846995,174.32430322,20.56300094624227,Whangarei,Whangarei,Northland,Northland,EDUCATION
E98,Bream Head,Whangarei Central,-999,-999,6,-999,-999,-999,33,-999,-999,-999,42,Bream Head,-35.81913112,174.53591875,Whangarei Central,-35.72846995,174.32430322,21.58928310104837,Whangarei,Whangarei,Northland,Northland,EDUCATION
E99,Waipu,Whangarei Central,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,9,Waipu,-36.03330412,174.45082085,Whangarei Central,-35.72846995,174.32430322,35.76122204449049,Whangarei,Whangarei,Northland,Northland,EDUCATION
E100,Kaipara Coastal,Whangarei Central,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,12,Kaipara Coastal,-35.72900181,173.65124289,Whangarei Central,-35.72846995,174.32430322,60.75505575069115,Kaipara,Whangarei,Northland,Northland,EDUCATION
E101,Maungaru,Whangarei Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18,Maungaru,-35.87696287,173.97089153,Whangarei Central,-35.72846995,174.32430322,35.894867178148345,Kaipara,Whangarei,Northland,Northland,EDUCATION
E102,Dargaville,Whangarei Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Dargaville,-35.93920158,173.86524045,Whangarei Central,-35.72846995,174.32430322,47.556874150119036,Kaipara,Whangarei,Northland,Northland,EDUCATION
E103,Ruawai-Matakohe,Whangarei Central,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,6,Ruawai-Matakohe,-36.08477059,174.14649781,Whangarei Central,-35.72846995,174.32430322,42.73287395865936,Kaipara,Whangarei,Northland,Northland,EDUCATION
E105,Oruru-Parapara,Taemaro-Oruaiti,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,6,Oruru-Parapara,-35.03331749,173.46127559,Taemaro-Oruaiti,-35.02535123,173.57890377,10.746952779478598,Far North,Far North,Northland,Northland,EDUCATION
E109,Taumarumaru,Kerikeri Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Taumarumaru,-34.99672682,173.50774402,Kerikeri Central,-35.22507309,173.95096304,47.64532231290496,Far North,Far North,Northland,Northland,EDUCATION
E110,Whakarara,Kerikeri Central,-999,-999,18,-999,-999,-999,21,-999,-999,-999,39,Whakarara,-35.0629133,173.84991312,Kerikeri Central,-35.22507309,173.95096304,20.23729059643323,Far North,Far North,Northland,Northland,EDUCATION
E111,Kaeo,Kerikeri Central,-999,-999,12,-999,-999,-999,24,-999,-999,-999,39,Kaeo,-35.15410315,173.74331968,Kerikeri Central,-35.22507309,173.95096304,20.453097400660372,Far North,Far North,Northland,Northland,EDUCATION
E112,Omahuta Forest-Horeke,Kerikeri Central,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,9,Omahuta Forest-Horeke,-35.28834375,173.61780248,Kerikeri Central,-35.22507309,173.95096304,31.05792396360032,Far North,Far North,Northland,Northland,EDUCATION
E114,Okaihau,Kerikeri Central,-999,-999,24,-999,-999,-999,24,-999,-999,-999,54,Okaihau,-35.28661159,173.79081555,Kerikeri Central,-35.22507309,173.95096304,16.070930041679805,Far North,Far North,Northland,Northland,EDUCATION
E115,Rangitane-Purerua,Kerikeri Central,-999,-999,27,-999,-999,-999,60,-999,-999,-999,93,Rangitane-Purerua,-35.13418331,173.9391431,Kerikeri Central,-35.22507309,173.95096304,10.163415492352264,Far North,Far North,Northland,Northland,EDUCATION
E121,Ohaeawai-Waimate North,Kerikeri Central,-999,-999,18,-999,-999,-999,21,-999,-999,-999,39,Ohaeawai-Waimate North,-35.33520904,173.85992372,Kerikeri Central,-35.22507309,173.95096304,14.773957746695912,Far North,Far North,Northland,Northland,EDUCATION
E123,Kaikohe,Kerikeri Central,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,9,Kaikohe,-35.40792422,173.79767516,Kerikeri Central,-35.22507309,173.95096304,24.63391228345261,Far North,Far North,Northland,Northland,EDUCATION
