SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
Kaitaia West,North Cape,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Kaitaia West,-35.12178170000001,173.26717397,North Cape,-34.50545276,172.77554997,81.92088293451681,Far North,Far North,Northland,Northland,47
Taumarumaru,Rangaunu Harbour,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,24,Taumarumaru,-34.99672682,173.50774402,Rangaunu Harbour,-34.91627744,173.13744282,34.91249001820793,Far North,Far North,Northland,Northland,35
Kaikohe,Kaitaia East,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,24,Kaikohe,-35.40792422,173.79767516,Kaitaia East,-35.10383477,173.26414302,59.077866919855616,Far North,Far North,Northland,Northland,57
Puketona-Waitangi,Kaikohe,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,27,Puketona-Waitangi,-35.27991822,174.00095246,Kaikohe,-35.40792422,173.79767516,23.29239580512797,Far North,Far North,Northland,Northland,167
Whangaruru,Kawakawa,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Whangaruru,-35.48991999,174.33501130000005,Kawakawa,-35.37897674,174.07575504,26.530947892469268,Whangarei,Far North,Northland,Northland,20
Mairtown,Whangarei Central,-999,204,24,21,-999,-999,9,27,-999,-999,285,Mairtown,-35.70451425,174.32430453,Whangarei Central,-35.72846995,174.32430322,2.6637523068437168,Whangarei,Whangarei,Northland,Northland,572
Oakleigh-Mangapai,Whangarei Central,-999,192,33,6,-999,-999,-999,-999,-999,-999,234,Oakleigh-Mangapai,-35.89588695,174.21595621,Whangarei Central,-35.72846995,174.32430322,21.02387632154497,Whangarei,Whangarei,Northland,Northland,21
Ruakaka,Whangarei Central,-999,84,30,-999,-999,-999,-999,-999,-999,-999,117,Ruakaka,-35.87869623,174.45727498,Whangarei Central,-35.72846995,174.32430322,20.56300094624227,Whangarei,Whangarei,Northland,Northland,48
Kaiwaka,Dargaville,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaiwaka,-36.20144738,174.41954369,Dargaville,-35.93920158,173.86524045,57.72630855812443,Kaipara,Kaipara,Northland,Northland,17
Mangawhai,Mangawhai Heads,-999,21,-999,-999,-999,-999,-999,-999,-999,-999,27,Mangawhai,-36.12486297,174.57648718,Mangawhai Heads,-36.09442027,174.58406666,3.4528735650181077,Kaipara,Kaipara,Northland,Northland,27
Richmond (Invercargill City),Invercargill Central,-999,498,99,27,-999,-999,24,66,-999,6,720,Richmond (Invercargill City),-46.40719619,168.36918138,Invercargill Central,-46.41489239,168.32850731,3.2336411984953366,Invercargill,Invercargill,Southland,Southland,518
Cape Rodney,Mangawhai Heads,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Cape Rodney,-36.25433822,174.62638047,Mangawhai Heads,-36.09442027,174.58406666,18.18315235000976,Rodney,Kaipara,Auckland,Northland,26
Wellsford,Kaiwaka,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,18,Wellsford,-36.2928483,174.52152782,Kaiwaka,-36.20144738,174.41954369,13.672357357086687,Rodney,Kaipara,Auckland,Northland,29
Kaipara Hills,Wellsford,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18,Kaipara Hills,-36.46348663,174.48881947,Wellsford,-36.2928483,174.52152782,19.198738852406198,Rodney,Rodney,Auckland,Auckland,22
Warkworth East,Wellsford,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,Warkworth East,-36.40528692,174.66791942,Wellsford,-36.2928483,174.52152782,18.116400226595395,Rodney,Rodney,Auckland,Auckland,160
Epsom Central-North,North Harbour,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,24,Epsom Central-North,-36.88779009,174.76992615,North Harbour,-36.74630474,174.71502975,16.473926318188063,Waitakere,Waitakere,Auckland,Auckland,22834
South Head,North Harbour,-999,27,15,-999,-999,-999,-999,-999,-999,-999,42,South Head,-36.59353204,174.31227374,North Harbour,-36.74630474,174.71502975,39.7353608857163,Rodney,Waitakere,Auckland,Auckland,33
Ostend,Quay Street-Customs Street,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,12,Ostend,-36.79263832,175.05220466,Quay Street-Customs Street,-36.84601989,174.77646293,25.252609033378157,Auckland,Waitakere,Auckland,Auckland,86
Kawakawa Bay-Orere,Quay Street-Customs Street,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kawakawa Bay-Orere,-36.98413362,175.15196852,Quay Street-Customs Street,-36.84601989,174.77646293,36.74672735995461,Manukau,Waitakere,Auckland,Auckland,27
Onewhero,Penrose,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Onewhero,-37.36416985,174.87549359,Penrose,-36.91999811,174.82258914,49.6117585892184,Franklin,Waitakere,Waikato,Auckland,18
Maramarua,Penrose,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Maramarua,-37.27897408,175.21484861,Penrose,-36.91999811,174.82258914,52.948561880605,Waikato,Waitakere,Waikato,Auckland,18
Huntly East,Penrose,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Huntly East,-37.55408564,175.16553246,Penrose,-36.91999811,174.82258914,76.76562193753976,Waikato,Waitakere,Waikato,Auckland,52
Waitohi (Marlborough District),Marlborough Sounds East,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,27,Waitohi (Marlborough District),-41.2943994,173.99961791,Marlborough Sounds East,-41.3212678,174.04011823,4.513276692675234,Marlborough,Marlborough,Marlborough,Marlborough,41
Petone Central,Thorndon,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,21,Petone Central,-41.22362356,174.86969444,Thorndon,-41.27246445,174.77422734,9.65382593696916,Hutt city,Wellington,Wellington,Wellington,3997
Whitianga North,Whitianga South,-999,210,60,24,-999,-999,18,-999,-999,-999,318,Whitianga North,-36.82143931,175.6736582,Whitianga South,-36.8336234,175.69356396,2.230356245260785,Thames-Coromandel,Thames-Coromandel,Waikato,Waikato,20
Hauraki Plains East,Thames Central,-999,51,9,-999,-999,-999,-999,-999,-999,-999,63,Hauraki Plains East,-37.23819335,175.54353689,Thames Central,-37.14032281,175.54142966,10.884308261920813,Hauraki,Thames-Coromandel,Waikato,Waikato,86
Tahawai,Paeroa,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Tahawai,-37.519043,175.89229314,Paeroa,-37.37535256,175.67393688,25.037191972450326,Western Bay of Plenty,Hauraki,Bay of Plenty,Waikato,111
Riverlea,Te Rapa South,-999,36,12,-999,-999,-999,-999,-999,-999,-999,51,Riverlea,-37.80516292,175.32490337,Te Rapa South,-37.76141322,175.24114614,8.822998773218924,Hamilton,Hamilton,Waikato,Waikato,2463
Maungatapu,Tauranga Central,-999,162,30,12,9,-999,9,-999,-999,-999,225,Maungatapu,-37.7183264,176.17894876,Tauranga Central,-37.67947411,176.16704264,4.445359897197328,Western Bay of Plenty,,Bay of Plenty,,1266
Putararu,Tauranga Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Putararu,-38.05293796,175.78466514,Tauranga Central,-37.67947411,176.16704264,53.39644621501761,South Waikato,,Waikato,,27
Waiorohi,Tauranga Central,-999,81,15,-999,-999,-999,-999,-999,-999,-999,99,Waiorohi,-37.87712037,176.14775568,Tauranga Central,-37.67947411,176.16704264,22.042533542392874,Western Bay of Plenty,,Bay of Plenty,,18
Pongakawa,Tauranga Central,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,21,Pongakawa,-37.89305456,176.49614474,Tauranga Central,-37.67947411,176.16704264,37.422196049091674,Western Bay of Plenty,,Bay of Plenty,,16
Koutu,Rotorua Central,-999,111,6,12,6,-999,6,-999,-999,-999,150,Koutu,-38.12154784,176.23823269,Rotorua Central,-38.13568521,176.25424012,2.1051419335701955,Rotorua,Rotorua,Waikato,Bay of Plenty,602
Matarawa,Putararu,-999,30,-999,6,-999,-999,-999,-999,-999,-999,36,Matarawa,-38.22438631,175.85345651,Putararu,-38.05293796,175.78466514,19.99096624073266,South Waikato,South Waikato,Waikato,Waikato,68
Te Kuiti West,Otorohanga,-999,30,-999,-999,-999,-999,-999,-999,-999,-999,33,Te Kuiti West,-38.33639894,175.16019027,Otorohanga,-38.18318495,175.21677363,17.73847947886111,Waitomo,Otorohanga,Waikato,Waikato,21
Thornton-Awakeri,Ohope,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Thornton-Awakeri,-37.98393622,176.90843855,Ohope,-37.98331205,177.11508716,18.11130127199502,Whakatane,,Bay of Plenty,,178
Woodlands,Otara-Tirohanga ,-999,30,9,6,-999,-999,-999,-999,-999,-999,48,Woodlands,-38.01656194,177.25965904,Otara-Tirohanga,-38.02845968,177.34799230000004,7.849915456307032,Opotiki,Opotiki,Bay of Plenty,Bay of Plenty,24
Taumarunui East,Taumarunui Central,-999,120,27,12,-999,-999,-999,6,-999,-999,168,Taumarunui East,-38.88852154,175.31379572,Taumarunui Central,-38.88792031,175.26436605,4.2787117653594535,Ruapehu,Ruapehu,Manawatu-Wanganui,Manawatu-Wanganui,23
